date,attributedDetailPageViewsClicks14d,attributedPurchases14d,adGroupId,advertiserName,productName,productCategory,productSubcategory,brandHaloAttributedPurchases14d,brandHaloUnitsSold14d,attributedNewToBrandSales14d,attributedAddToCartClicks14d,brandHaloNewToBrandPurchases14d,brandName,marketplace,brandHaloAttributedSales14d,campaignId,brandHaloNewToBrandUnitsSold14d,productAsin,productConversionType,attributedNewToBrandUnitsSold14d,brandHaloAttributedAddToCartClicks14d,attributedNewToBrandPurchases14d,unitsSold14d,productGroup,brandHaloNewToBrandSales14d,publisher,brandHaloDetailPageViewsClicks14d,attributedSales14d
20260311,0,0,12_15_04_23_DE_Galaxy S26 시리즈 Glas.tR EZ Fit Pro CC 라인업 통합_Facebook_260225_yeseo,Spigen DE Direct,"Spigen Glas.tR EZ Fit Pro Schutzfolie kompatibel mit Samsung Galaxy S26, 2 Stück, inklusive Installationskit, Kratzfest, Kristallklar, 10H+ Härte Folie",0900 Wireless Cases,0970 Screen Protectors,0,0,0,0,0,Spigen,AMAZON_DE,0,12_15_04_23_DE_Galaxy S26 시리즈_Facebook_260225_yeseo,0,B0G7QZ7RMD,Brand Halo,0,0,0,0,Wireless,0,Facebook,4,0
20260317,0,0,4) 스크린 프로텍터 키워드,Spigen DE Direct,Spigen für iPhone 16 Hülle [Anti-Yellowing] Ultra Hybrid MagFit Case Handyhülle Transparent Dünn Slim Kompatibel mit MagSafe -Weiß,0900 Wireless Cases,0910 Cases,0,0,0,0,0,Spigen,AMAZON_DE,0,12_11_01_03_A_iPhone_GA_Event_Search_26' SDD,0,B0D2216HBS,Brand Halo,0,0,0,0,Wireless,0,Google Ads,1,0
20260312,0,0,13_14_00_00_GA Demand Gen_Tesla Acc SDD_Jihye_0306,Spigen DE Direct,Spigen für Samsung Galaxy S25 FE Hülle [Fallschutz in Militärqualität] Rugged Armor Handyhülle Samsung S25 FE -Matte Black,0900 Wireless Cases,0910 Cases,0,0,0,0,0,Spigen,AMAZON_DE,0,13_14_00_00_GA Demand Gen_Tesla Acc SDD_Jihye_0306,0,B0FC8971XW,Brand Halo,0,1,0,0,Wireless,0,Google Ads,4,0
20260313,428,0,SDA 26.03 LF500,Spigen DE Direct,"Spigen Life Trinkbecher Tasche LF500 Magnetischer Flaschenhalter für Gym Passend für 20oz–40oz Wasserflaschen mit Fach für Handy und kleine Gegenstände für Fitness, Camping, Outdoor - Schwarz",,,0,0,0,11,0,Spigen,AMAZON_DE,0,SDA 26.03 LF500,0,B0FB1V9S7D,Promoted,0,0,0,0,Luggage,0,SNS (Facebook + Instagram),0,0
20260304,0,0,디바이스 / 메인,Spigen DE Direct,"Spigen Nano Pop MagFit für Samsung Galaxy S26 Hülle [Zweifarbiges Design] Stylisch Dünn Staubfrei Case Handyhülle, Kompatibel mit MagSafe -Blueberry Navy",,,0,0,0,0,0,Spigen,AMAZON_DE,0,12_11_01_23_A_Galaxy S26 Series_GA Search_MainKeyword_hyomi,0,B0FVBFXHSW,Brand Halo,0,0,0,0,Electronics,0,Google Ads,0,0
20260306,0,0,디바이스 / 메인,Spigen DE Direct,"Spigen Liquid Air für Samsung Galaxy S26 Ultra Hülle [rutschfest] Slim TPU mit Truss-Design, Militärgeprüfter Schutz, Sound Tunnel Technologie Case Handyhülle –Marble Gray",,,0,0,0,0,0,Spigen,AMAZON_DE,0,12_11_01_23_A_Galaxy S26 Series_GA Search_MainKeyword_hyomi,0,B0FXCK6S9B,Brand Halo,0,0,0,0,Electronics,0,Google Ads,0,0
20260323,0,0,12_15_04_03_DE_2026 SDD 통합_GA Search_260306_yeseo	,Spigen DE Direct,"Spigen Glas.tR EZ Fit Pro Schutzfolie kompatibel mit Samsung Galaxy S26 Ultra, 2 Stück, inklusive Installationskit, Kratzfest, Kristallklar, 10H+ Härte Folie",0900 Wireless Cases,0970 Screen Protectors,0,0,0,0,0,Spigen,AMAZON_DE,0,12_15_04_03_DE_2026 SDD 통합_GA Search_260306_yeseo	,0,B0G7S8J7SJ,Brand Halo,0,0,0,0,Wireless,0,Google Ads,1,0
20260305,0,0,12_00_00_00_NoObjective_search_GalaxyS26_Samsung_SEONMIN_260226,Spigen DE Direct,"Spigen Thin Fit MagFit Hülle für Samsung Galaxy S25 Ultra, Kompatibel mit MagSafe -Schwarz",,,0,0,0,0,0,Spigen,AMAZON_DE,0,12_00_00_00_NoObjective_search_GalaxyS26_SEONMIN_260226,0,B0DJ9VHQDX,Brand Halo,0,0,0,0,Electronics,0,Google Ads,0,0
20260317,0,0,Apple,Spigen DE Direct,Spigen Ultra Hybrid Pro Case Hülle Entwickelt für Apple AirPods Max 2/1 (2026/2020) - Kristallklar,1400 Wearables,1410 Smartwatches,0,0,0,0,0,Spigen,AMAZON_DE,0,SDA 26.03 SDD Apple,0,B08SJCR8WW,Brand Halo,0,0,0,0,Wireless,0,Facebook,5,0
20260313,2,0,2026 SDD,Spigen DE Direct,Spigen iPhone 17 Pro Hülle [Spigen Signature] Ultra Hybrid MagFit [Dura Clear Tech] Case Handyhülle Transparent Kompatibel mit MagSafe -Clear White,,,0,0,0,0,0,Spigen,AMAZON_DE,0,"12_00_00_00_Instagram Story, Reels Ad _ demkt ",0,B0FD28CZDK,Promoted,0,0,0,0,Electronics,0,Instagram,0,0
